Time,wfv_1,wfv_2,wfv_3,Hour,Day,Month
2022-03-25 12:45:00,25.19844011,21.52727533,21.7765989,12,25,3
2022-03-25 13:00:00,25.14189041,21.26423241,22.04370401,13,25,3
2022-03-25 13:15:00,25.19981845,21.26574919,21.77959324,13,25,3
2022-03-25 13:30:00,25.3525405,21.26574919,21.97225364,13,25,3
2022-03-25 13:45:00,25.20257498,21.26726592,21.70616657,13,25,3
2022-03-25 14:00:00,25.20395318,21.26726592,21.78408434,14,25,3
2022-03-25 14:15:00,25.20533134,21.3445414,21.94244483,14,25,3
2022-03-25 14:30:00,25.20533134,21.34605509,21.9439358,14,25,3
2022-03-25 14:45:00,25.35528731,21.34605509,21.94542671,14,25,3
2022-03-25 15:00:00,25.35666064,21.34605509,21.94691757,15,25,3
2022-03-25 15:15:00,25.11013485,21.34756871,21.94840837,15,25,3
2022-03-25 15:30:00,25.11013485,21.34908228,21.94989912,15,25,3
2022-03-25 15:45:00,25.1681056,21.35059579,21.95288045,15,25,3
2022-03-25 16:00:00,25.16948491,21.35210924,21.6851625,16,25,3
2022-03-25 16:15:00,25.16948491,21.35210924,21.68666316,16,25,3
2022-03-25 16:30:00,25.11289714,21.08636082,21.68816376,16,25,3
2022-03-25 16:45:00,25.17086417,21.51069817,21.6911648,16,25,3
2022-03-25 17:00:00,25.17224338,21.24602636,21.6911648,17,25,3
2022-03-25 17:15:00,25.17224338,21.08940818,21.8528843,17,25,3
2022-03-25 17:30:00,25.17500168,21.32485819,21.85437863,17,25,3
2022-03-25 17:45:00,25.17500168,21.32637263,21.85437863,17,25,3
2022-03-25 18:00:00,25.23150797,21.32637263,21.93051506,18,25,3
2022-03-25 18:15:00,24.92465598,21.32788702,23.08747858,18,25,3
2022-03-25 18:30:00,24.98287747,21.32788702,22.96555224,18,25,3
2022-03-25 18:45:00,24.98426273,21.32788702,21.78408434,18,25,3
2022-03-25 19:00:00,25.23288525,21.06197338,21.78558126,19,25,3
2022-03-25 19:15:00,24.98426273,21.06197338,21.86184943,19,25,3
2022-03-25 19:30:00,25.13636939,21.06197338,21.86334342,19,25,3
2022-03-25 19:45:00,24.98564795,21.06349805,21.86334342,19,25,3
2022-03-25 20:00:00,25.13774971,21.14117685,21.86483736,20,25,3
2022-03-25 20:15:00,24.98564795,21.14117685,21.86483736,20,25,3
